time(s), x(g), y(g), z(g)
21756, -2.00, -1.12, 0.52

21810, 1.99, -0.99, -0.94

21863, -2.00, -0.89, 0.39

21916, -0.36, -1.04, 0.00

21969, 0.00, -0.69, -0.07

22023, -2.00, -1.23, 0.55

22076, 1.14, -0.77, -0.97

22130, 2.00, -1.23, -0.53

22183, -1.70, -1.60, 0.29

22237, -0.73, -0.72, -0.09

22290, -0.62, -0.53, -0.03

22343, -1.86, -1.38, 0.63

22396, 1.95, -1.21, -0.84

22450, -2.00, -0.56, -0.67

22504, -1.92, -1.20, 0.32

22557, 2.00, -1.29, -0.60

22610, 0.43, -1.26, 0.47

22664, 0.21, -1.00, 0.05

22717, 2.00, -1.15, -0.80

22770, -1.13, -1.33, 0.74

22823, -1.29, -1.37, 0.48

22877, 1.73, -1.17, -0.91

22931, -2.00, -0.95, 0.35

22984, 0.45, -0.94, -0.04

23037, 0.50, -0.89, -0.98

23091, -1.72, -1.28, 0.43

23144, 1.83, -1.27, -0.96

23197, 2.00, -1.37, -0.64

23250, -1.86, -1.37, 0.78

23304, 0.05, -1.18, -0.02

23358, -0.43, -0.85, -0.05

23411, -2.00, -1.02, 0.39

23464, 2.00, -1.23, -0.95

23518, -1.90, -1.05, -0.82

23571, -2.00, -0.94, 0.42

23624, 2.00, -1.36, -0.24

23677, -0.09, -0.53, -0.08

23731, -0.73, -0.98, 0.16

23785, 1.60, -1.29, -0.95

23838, -1.42, -1.26, 0.70

23891, -2.00, -1.43, 0.54

23945, 2.00, -0.98, -1.03

23998, 0.65, -0.63, 0.12

24051, -0.16, -1.18, 0.19

24104, -0.04, -0.70, -0.57

24159, -1.34, -1.15, 0.37

24212, 0.38, -0.82, -0.65

24265, 2.00, -1.11, -0.85

24318, -2.00, -1.25, 0.63

24372, -0.89, -1.13, 0.11

24425, 1.87, -0.92, -0.10

24478, -0.41, -0.89, 0.39

24531, 1.39, -1.25, -0.61

24586, -0.33, -1.07, -0.94

24639, -2.00, -1.15, 0.19

24692, 2.00, -1.02, 0.30

24745, 2.00, -1.08, -0.66

24799, -1.27, -1.22, 0.48

24852, 1.34, -1.18, -0.46

24905, -0.92, -0.78, 0.08

24958, -2.00, -1.21, 0.62

25013, 2.00, -1.21, -0.87

25066, 2.00, -0.75, -0.47

25119, -2.00, -1.18, 0.61

25172, 0.63, -1.06, -0.20

25226, -1.70, -0.93, 0.47

25279, 2.00, -1.37, -0.73

25332, -1.78, -1.72, 0.70

25385, -2.00, -0.90, 0.38

25440, 2.00, -1.33, -0.79

25493, 2.00, -1.75, -0.89

25546, 2.00, -1.25, -0.86

25600, 1.77, -1.27, -0.25

25653, -1.69, -0.88, 0.36

25706, -0.72, -1.05, -0.05

25759, 0.64, -1.26, -0.69

25814, -0.30, -1.48, 0.14

25867, -0.28, -0.48, -0.31

25920, -0.34, -0.66, 0.24

25973, 0.69, -0.84, 0.20

26027, 1.58, -1.59, -0.32

26080, 1.30, -1.60, -0.75

26133, 2.00, -1.76, -0.60

26186, -0.65, -0.38, 0.23

26241, -1.23, -1.48, -0.36

26294, 0.91, -1.03, -0.07

26347, -0.69, -0.48, 0.11

26400, 1.25, -0.95, -0.31

26454, -1.21, -1.40, -0.02

26507, -2.00, -0.98, 0.34

26560, 0.48, -0.75, -0.40

26613, 1.77, -1.27, -0.12

26668, 0.78, -0.70, -0.33

26721, -1.83, -1.06, -0.22

26774, -0.71, -0.82, -0.43

26827, 0.62, -0.40, 1.09

26881, -2.00, -0.67, -0.05

26934, -1.51, -2.00, -2.00

26987, -2.00, -1.03, 1.78

27040, 2.00, -1.78, -2.00

27095, 0.99, -0.75, 0.02

27148, 0.95, 0.00, 0.44

27201, -1.45, -1.07, 0.97

27254, -2.00, -0.69, 0.37

27308, -0.56, -1.52, -0.29

27361, -1.30, -1.52, -0.27

27414, 0.44, -1.29, -0.02

27467, 0.00, -1.29, -0.09

27522, 1.14, -0.83, -0.33

27575, 0.09, -1.21, -0.13

27628, 0.75, -1.05, 0.16

27681, 1.03, -0.96, 0.12

27735, 1.41, -0.89, -0.54

27788, 0.14, -0.94, -0.01

27841, 1.74, -1.11, -0.44

27894, 0.59, -1.08, -0.32

27949, 0.64, -1.04, 0.08

28002, 0.99, -1.24, 0.15

28055, -0.73, -1.11, 0.05

28108, 0.55, -1.15, 0.03

28162, -0.52, -1.07, -0.09

28215, 0.70, -1.22, -0.28

28268, -0.08, -1.15, -0.17

28321, -0.34, -1.09, 0.01

28376, 0.54, -1.12, -0.30

28429, 0.11, -0.98, -0.11

28482, 0.10, -1.28, -0.28

28535, -0.09, -0.82, -0.06

28589, -0.11, -1.12, 0.12

28642, 0.15, -0.94, -0.53

28695, -0.24, -0.99, -0.36

28748, 0.27, -1.16, 0.02

28803, 0.09, -1.09, -0.19

28856, -0.03, -1.12, 0.16

28909, -0.11, -1.16, -0.03

28962, 0.21, -1.07, -0.12

29016, 0.03, -1.09, -0.18

29069, -0.11, -1.03, -0.18

29122, 0.09, -1.04, -0.16

29176, -0.00, -1.11, -0.03

29230, -0.05, -1.07, -0.07

29283, 0.02, -1.07, -0.09

29336, 0.07, -1.06, -0.12

29389, -0.07, -1.06, -0.11

29443, 0.04, -1.05, -0.12

29496, 0.02, -1.08, -0.12

29549, 0.04, -1.07, -0.11

29602, 0.09, -1.07, -0.12

29657, 0.00, -1.07, -0.11

29710, -0.00, -1.06, -0.12

29763, 0.01, -1.07, -0.12

29816, 0.02, -1.07, -0.12

29870, 0.02, -1.07, -0.11

29923, 0.01, -1.07, -0.12

29976, 0.02, -1.07, -0.12

30029, 0.02, -1.06, -0.12

30084, 0.02, -1.07, -0.12

30137, 0.02, -1.07, -0.12

30190, 0.02, -1.07, -0.12

30243, 0.02, -1.07, -0.12

30297, 0.02, -1.07, -0.12

30350, 0.01, -1.06, -0.12

30403, 0.02, -1.07, -0.12

30456, 0.02, -1.07, -0.12

30511, 0.01, -1.06, -0.12

30564, 0.02, -1.07, -0.12

30617, 0.02, -1.06, -0.12

30670, 0.02, -1.07, -0.13

30724, 0.02, -1.07, -0.12

30777, 0.02, -1.07, -0.12

30830, 0.01, -1.06, -0.12

30883, 0.02, -1.07, -0.13

30938, 0.02, -1.07, -0.12

30991, 0.02, -1.07, -0.12

31044, 0.02, -1.07, -0.12

31097, 0.02, -1.07, -0.12

31151, 0.02, -1.06, -0.12

31204, 0.02, -1.07, -0.13

31257, 0.02, -1.07, -0.12

31310, 0.02, -1.07, -0.12

31365, 0.02, -1.06, -0.13

31418, 0.02, -1.07, -0.12

31471, 0.02, -1.06, -0.12

31524, 0.02, -1.07, -0.12

31578, 0.02, -1.07, -0.12

31631, 0.02, -1.07, -0.12

31684, 0.02, -1.07, -0.12

31737, 0.02, -1.07, -0.12

31792, 0.02, -1.06, -0.12

31845, 0.02, -1.07, -0.12

31898, 0.02, -1.07, -0.12

31951, 0.02, -1.07, -0.12

32005, 0.02, -1.07, -0.12

32058, 0.02, -1.07, -0.11

32111, 0.02, -1.07, -0.12

32164, 0.02, -1.07, -0.12

32218, 0.02, -1.06, -0.12

32272, 0.02, -1.07, -0.12

32325, 0.02, -1.07, -0.12

32378, 0.02, -1.07, -0.12

32432, 0.02, -1.07, -0.12

32485, 0.02, -1.07, -0.12

32538, 0.02, -1.07, -0.12

32591, 0.02, -1.07, -0.12

32645, 0.02, -1.07, -0.12

32699, 0.02, -1.07, -0.12

32752, 0.02, -1.06, -0.12

32805, 0.02, -1.07, -0.12

32859, 0.02, -1.07, -0.12

32912, 0.02, -1.07, -0.12

32965, 0.02, -1.07, -0.12

33018, 0.02, -1.07, -0.12

33072, 0.02, -1.07, -0.12

33126, 0.02, -1.07, -0.12

33179, 0.02, -1.07, -0.12

33232, 0.02, -1.07, -0.12

33286, 0.02, -1.07, -0.12

33339, 0.02, -1.07, -0.13

33392, 0.02, -1.07, -0.12

33445, 0.02, -1.07, -0.12

33499, 0.02, -1.07, -0.12

33553, 0.02, -1.07, -0.12

33606, 0.02, -1.07, -0.12

33659, 0.02, -1.06, -0.12

33713, 0.02, -1.07, -0.12

33766, 0.02, -1.07, -0.12

33819, 0.02, -1.07, -0.13

33872, 0.02, -1.07, -0.12

33926, 0.01, -1.07, -0.12

33980, 0.02, -1.06, -0.12

34033, 0.02, -1.07, -0.12

34086, 0.02, -1.07, -0.12

34140, 0.02, -1.07, -0.12

34193, 0.02, -1.07, -0.12

34246, 0.01, -1.07, -0.12

34299, 0.02, -1.07, -0.12

34353, 0.02, -1.07, -0.12

34406, 0.02, -1.07, -0.12

34460, 0.02, -1.07, -0.12

34513, 0.02, -1.06, -0.12

34567, 0.02, -1.07, -0.12

34620, 0.02, -1.07, -0.12

34673, 0.02, -1.07, -0.12

34726, 0.02, -1.07, -0.12

34780, 0.02, -1.06, -0.12

34833, 0.02, -1.07, -0.12

34887, 0.02, -1.07, -0.12

34940, 0.02, -1.07, -0.12

34994, 0.02, -1.07, -0.12

35047, 0.02, -1.07, -0.12

35100, 0.02, -1.07, -0.12

35153, 0.02, -1.06, -0.12

35207, 0.02, -1.06, -0.12

35260, 0.02, -1.07, -0.12

35314, 0.02, -1.07, -0.12

35367, 0.02, -1.07, -0.12

35421, 0.02, -1.07, -0.12

35474, 0.02, -1.07, -0.12

35527, 0.02, -1.06, -0.12

35580, 0.02, -1.07, -0.12

35634, 0.02, -1.07, -0.12

35687, 0.02, -1.07, -0.12

35741, 0.02, -1.07, -0.12

35794, 0.02, -1.07, -0.12

35848, 0.02, -1.07, -0.12

35901, 0.01, -1.06, -0.12

35954, 0.02, -1.07, -0.12

36007, 0.02, -1.07, -0.12

36061, 0.02, -1.07, -0.12

36114, 0.01, -1.06, -0.12

36168, 0.02, -1.06, -0.12

36221, 0.02, -1.07, -0.12

36275, 0.02, -1.07, -0.12

36328, 0.02, -1.07, -0.12

36381, 0.02, -1.07, -0.12

36434, 0.02, -1.07, -0.12

36488, 0.02, -1.07, -0.12

36541, 0.02, -1.07, -0.12

36594, 0.02, -1.07, -0.12

36648, 0.02, -1.06, -0.12

36702, 0.02, -1.07, -0.12

36755, 0.02, -1.07, -0.12

36808, 0.02, -1.07, -0.12

36861, 0.02, -1.07, -0.12

36915, 0.02, -1.07, -0.13

36968, 0.02, -1.07, -0.13

37021, 0.02, -1.07, -0.13

37075, 0.02, -1.07, -0.13

37129, 0.02, -1.07, -0.12

37182, 0.02, -1.07, -0.12

37235, 0.02, -1.07, -0.12

37288, 0.01, -1.07, -0.12

37342, 0.02, -1.07, -0.12

37395, 0.01, -1.06, -0.13

37448, 0.02, -1.06, -0.12

37502, 0.02, -1.07, -0.12

37556, 0.02, -1.07, -0.12

37609, 0.02, -1.07, -0.12

